iter	RMSE
0	9.50520316
1	9.256023683
2	9.010764311
3	8.784800175
4	8.572384136
5	8.385960664
6	8.21206159
7	8.050237737
8	7.907874459
9	7.768817307
10	7.648801392
11	7.533183358
12	7.438372392
13	7.347317572
14	7.26783278
15	7.191843794
16	7.122605718
17	7.062569309
18	7.008313081
19	6.956136756
20	6.908566116
21	6.868037293
22	6.828205219
23	6.792823215
24	6.758760756
25	6.727273626
26	6.699650424
27	6.67592554
28	6.653513416
29	6.633836695
30	6.613595828
31	6.597923295
32	6.581306871
33	6.567425327
34	6.555364044
35	6.544169125
36	6.532832409
37	6.520420032
38	6.510043388
39	6.499841888
40	6.491675043
41	6.48361935
42	6.477156654
43	6.46902402
44	6.461765839
45	6.456268392
46	6.452106795
47	6.444884687
48	6.437524764
49	6.432961848
50	6.42906595
51	6.425248068
52	6.420309452
53	6.415530409
54	6.407651645
55	6.402308326
56	6.396830907
57	6.391870117
58	6.387160581
59	6.383596067
60	6.378471228
61	6.374183924
62	6.371936088
63	6.367641957
64	6.363911913
65	6.362413938
66	6.358564303
67	6.355001729
68	6.352640655
69	6.348442671
70	6.34534937
71	6.342662535
72	6.339198178
73	6.333981369
74	6.33012575
75	6.326594231
76	6.323386962
77	6.31868754
78	6.315208014
79	6.3111578
80	6.309430847
81	6.308465507
82	6.303666695
83	6.29868161
84	6.295830413
85	6.293170169
86	6.287844332
87	6.282464248
88	6.280046974
89	6.276095176
90	6.273697442
91	6.270997183
92	6.267278546
93	6.265277001
94	6.263183807
95	6.259442967
96	6.25786097
97	6.254352377
98	6.252815008
99	6.248570716
100	6.24676095
101	6.243991437
102	6.240205349
103	6.236882902
104	6.233939584
105	6.229546324
106	6.226686711
107	6.223802169
108	6.222418908
109	6.219385036
110	6.216425748
111	6.211810449
112	6.208656513
113	6.207937759
114	6.206375779
115	6.201963674
116	6.199483503
117	6.196286129
118	6.19344334
119	6.192173878
120	6.189943935
121	6.186772444
122	6.184438204
123	6.182329558
124	6.179000454
125	6.1776062
126	6.173669474
127	6.171663841
128	6.169775755
129	6.168008716
130	6.164692965
131	6.161555878
132	6.158486173
133	6.155873093
134	6.153680948
135	6.152037596
136	6.149619195
137	6.144721805
138	6.142628067
139	6.139966657
140	6.137987268
141	6.136780643
142	6.134402989
143	6.131667617
144	6.128663265
145	6.126336421
146	6.122648756
147	6.117923997
148	6.117020923
149	6.115043398
150	6.113208921
151	6.10901678
152	6.10797146
153	6.105466631
154	6.102364615
155	6.099657952
156	6.09764952
157	6.095529978
158	6.092479104
159	6.089150542
160	6.085481115
161	6.082105854
162	6.080783911
163	6.079578025
164	6.078473183
165	6.077007837
166	6.075144218
167	6.07197037
168	6.068450359
169	6.066851697
170	6.06352333
171	6.060933779
172	6.059606819
173	6.05785302
174	6.056446144
175	6.053724294
176	6.051354591
177	6.049633553
178	6.04704468
179	6.046042373
180	6.04424982
181	6.042956647
182	6.039254744
183	6.037696874
184	6.036063639
185	6.032144791
186	6.030780515
187	6.028847626
188	6.023770872
189	6.021059347
190	6.018855793
191	6.014294155
192	6.012346263
193	6.009390061
194	6.007625706
195	6.005752543
196	6.004839179
197	6.001957332
198	6.00061563
199	5.998611027
200	5.996224553
201	5.994916402
202	5.990770133
203	5.987089049
204	5.98282331
205	5.980909669
206	5.980194901
207	5.975975156
208	5.973483198
209	5.97176959
210	5.970143703
211	5.968208378
212	5.964780376
213	5.963202672
214	5.960068715
215	5.956954166
216	5.954791657
217	5.951621134
218	5.948655172
219	5.945927583
220	5.942228471
221	5.941413545
222	5.940845844
223	5.940355152
224	5.939640304
225	5.936691847
226	5.933566893
227	5.930603474
228	5.929321184
229	5.926972185
230	5.924105289
231	5.923275913
232	5.921863122
233	5.917624092
234	5.916496851
235	5.912804497
236	5.910489578
237	5.909155815
238	5.9062958
239	5.90336177
240	5.90285055
241	5.898869874
242	5.895408945
243	5.892637611
244	5.890474481
245	5.888018594
246	5.885418593
247	5.881974459
248	5.881108812
249	5.878962967
250	5.876739059
251	5.875033862
252	5.871474201
253	5.868094998
254	5.865009745
255	5.861453525
256	5.859703078
257	5.856406225
258	5.854214589
259	5.851953461
260	5.849106294
261	5.846818256
262	5.844290225
263	5.841321593
264	5.838784965
265	5.838700222
266	5.836745537
267	5.833990323
268	5.833354398
269	5.831788127
270	5.830114976
271	5.827851363
272	5.825587297
273	5.823224204
274	5.8213387
275	5.818289775
276	5.81520927
277	5.812631232
278	5.810022789
279	5.80718884
280	5.805613093
281	5.803039024
282	5.80018089
283	5.797189306
284	5.795184187
285	5.791494433
286	5.790681081
287	5.788453048
288	5.786195446
289	5.784152197
290	5.782127431
291	5.778706652
292	5.777132265
293	5.77469045
294	5.771745403
295	5.769326107
296	5.767721231
297	5.765023636
298	5.763051224
299	5.762390626
300	5.760859008
301	5.759561714
302	5.757523394
303	5.755891003
304	5.751848263
305	5.749138163
306	5.74495379
307	5.743121503
308	5.738843509
309	5.736459662
310	5.734421465
311	5.731139381
312	5.731092888
313	5.727837021
314	5.725142371
315	5.725101948
316	5.722764269
317	5.722310984
318	5.721108352
319	5.717223852
320	5.717187286
321	5.715443932
322	5.714449659
323	5.7117
324	5.708904557
325	5.706983098
326	5.702784862
327	5.700132878
328	5.698381191
329	5.695550396
330	5.693621185
331	5.691923574
332	5.687230504
333	5.682973065
334	5.680007309
335	5.67624228
336	5.676084251
337	5.673536503
338	5.672839649
339	5.669277131
340	5.66680987
341	5.66638113
342	5.663112552
343	5.660853717
344	5.656876388
345	5.656835966
346	5.656691495
347	5.653716778
348	5.650683711
349	5.648796631
350	5.646020317
351	5.644381391
352	5.64279546
353	5.641117067
354	5.638435598
355	5.635977665
356	5.633343852
357	5.631719068
358	5.631029999
359	5.629373791
360	5.629129889
361	5.628905546
362	5.626721993
363	5.625445078
364	5.62341421
365	5.62105828
366	5.617945497
367	5.616555968
368	5.613058519
369	5.611221443
370	5.607857804
371	5.605838139
372	5.604845969
373	5.603721685
374	5.601660562
375	5.597874141
376	5.595564691
377	5.593581597
378	5.589746376
379	5.588685663
380	5.586545535
381	5.585174653
382	5.583007225
383	5.580704265
384	5.57865858
385	5.576390754
386	5.574326315
387	5.572531312
388	5.569807937
389	5.56754827
390	5.566113684
391	5.564270028
392	5.562303555
393	5.559840163
394	5.556920516
395	5.553534599
396	5.552503876
397	5.551438271
398	5.549725162
399	5.546186715
400	5.544785731
401	5.541933619
402	5.539323325
403	5.537128892
404	5.535383355
405	5.534998079
406	5.534147334
407	5.531653919
408	5.531115306
409	5.529871437
410	5.529842138
411	5.528514489
412	5.525482813
413	5.52237113
414	5.519824404
415	5.518146397
416	5.515431603
417	5.513397571
418	5.511062248
419	5.509590478
420	5.508287789
421	5.506126863
422	5.503384514
423	5.501869413
424	5.499359008
425	5.496887089
426	5.494313462
427	5.491730848
428	5.489507663
429	5.486392189
430	5.483407408
431	5.483102345
432	5.482044723
433	5.480957093
434	5.478823009
435	5.475745207
436	5.474117236
437	5.473533378
438	5.471836351
439	5.470277858
440	5.470252296
441	5.468104805
442	5.464767369
443	5.462480606
444	5.459830164
445	5.458569916
446	5.456340281
447	5.454035519
448	5.451745617
449	5.45055239
450	5.448151286
451	5.446891888
452	5.445165583
453	5.443510434
454	5.441278848
455	5.438794114
456	5.436530039
457	5.435295079
458	5.435265992
459	5.433847811
460	5.431777032
461	5.428876637
462	5.426121811
463	5.424534009
464	5.42221381
465	5.4197029
466	5.417103335
467	5.415615738
468	5.412514217
469	5.410367906
470	5.40784822
471	5.405371538
472	5.404609928
473	5.402423157
474	5.400473848
475	5.398168165
476	5.397354684
477	5.395471442
478	5.393928554
479	5.393025269
480	5.393004879
481	5.391624794
482	5.389897093
483	5.388238905
484	5.388208209
485	5.385896446
486	5.382508785
487	5.379394611
488	5.376951777
489	5.375230136
490	5.373828567
491	5.370526844
492	5.368366584
493	5.366851042
494	5.36496934
495	5.36388423
496	5.362553747
497	5.362482972
498	5.360070025
499	5.357380809
500	5.35542007
501	5.353564591
502	5.352524926
503	5.352019258
504	5.350514472
505	5.348299029
506	5.346315964
507	5.343380038
508	5.341439304
509	5.340430452
510	5.339312876
511	5.336955184
512	5.334734185
513	5.333394377
514	5.331377521
515	5.328797205
516	5.327221849
517	5.324656352
518	5.323766184
519	5.321867722
520	5.319846308
521	5.318913356
522	5.318018485
523	5.316342175
524	5.314454898
525	5.312753009
526	5.310587918
527	5.308478589
528	5.30741188
529	5.305110531
530	5.303611765
531	5.302582835
532	5.300205599
533	5.298647261
534	5.296325707
535	5.293714328
