iter	Passed	Remaining
0	46	14026
1	72	10767
2	98	9749
3	124	9225
4	152	8975
5	179	8777
6	202	8467
7	227	8302
8	252	8164
9	278	8078
10	303	7981
11	329	7909
12	354	7830
13	380	7763
14	405	7703
15	431	7651
16	455	7584
17	481	7543
18	506	7495
19	544	7616
20	571	7598
21	597	7549
22	622	7499
23	647	7451
24	672	7398
25	697	7350
26	723	7311
27	748	7271
28	774	7241
29	799	7199
30	825	7162
31	850	7122
32	877	7097
33	904	7074
34	930	7047
35	958	7031
36	985	7003
37	1012	6978
38	1040	6960
39	1066	6931
40	1095	6922
41	1128	6933
42	1151	6881
43	1181	6875
44	1211	6866
45	1230	6792
46	1260	6784
47	1291	6779
48	1309	6709
49	1335	6675
50	1359	6638
51	1383	6598
52	1399	6523
53	1424	6487
54	1448	6453
55	1472	6416
56	1496	6381
57	1512	6311
58	1539	6289
59	1571	6284
60	1608	6302
61	1634	6273
62	1647	6198
63	1656	6109
64	1682	6081
65	1710	6064
66	1736	6038
67	1764	6020
68	1790	5995
69	1817	5970
70	1843	5946
71	1870	5922
72	1897	5899
73	1925	5880
74	1956	5870
75	1989	5864
76	2023	5860
77	2051	5839
78	2083	5827
79	2113	5813
80	2132	5766
81	2161	5746
82	2189	5723
83	2215	5696
84	2241	5670
85	2269	5647
86	2297	5624
87	2327	5607
88	2355	5585
89	2383	5561
90	2412	5539
91	2441	5521
92	2470	5498
93	2488	5453
94	2516	5430
95	2550	5419
96	2578	5396
97	2622	5405
98	2650	5380
99	2675	5351
100	2701	5322
101	2726	5293
102	2750	5261
103	2776	5232
104	2802	5204
105	2827	5175
106	2852	5145
107	2877	5116
108	2893	5070
109	2921	5046
110	2949	5021
111	2974	4993
112	3002	4968
113	3050	4977
114	3075	4947
115	3220	5109
116	3289	5144
117	3331	5138
118	3373	5131
119	3415	5123
120	3455	5111
121	3488	5090
122	3520	5065
123	3558	5051
124	3590	5026
125	3635	5020
126	3663	4990
127	3694	4964
128	3725	4938
129	3754	4909
130	3783	4880
131	3810	4849
132	3836	4817
133	3861	4784
134	3886	4750
135	3912	4718
136	3938	4685
137	3963	4652
138	3988	4620
139	4013	4587
140	4038	4554
141	4065	4523
142	4091	4492
143	4124	4468
144	4151	4437
145	4176	4405
146	4202	4374
147	4228	4342
148	4254	4311
149	4280	4280
150	4304	4247
151	4343	4228
152	4366	4194
153	4391	4163
154	4416	4131
155	4441	4099
156	4466	4068
157	4491	4036
158	4517	4005
159	4545	3976
160	4571	3946
161	4596	3915
162	4630	3891
163	4655	3860
164	4679	3828
165	4704	3797
166	4730	3767
167	4759	3739
168	4786	3710
169	4814	3681
170	4839	3651
171	4866	3621
172	4893	3592
173	4920	3562
174	4946	3532
175	4971	3502
176	4998	3473
177	5022	3442
178	5047	3411
179	5071	3381
180	5097	3351
181	5122	3321
182	5147	3290
183	5171	3260
184	5197	3230
185	5222	3200
186	5247	3170
187	5272	3141
188	5297	3111
189	5331	3086
190	5356	3057
191	5382	3027
192	5407	2997
193	5432	2968
194	5457	2938
195	5482	2909
196	5509	2880
197	5542	2855
198	5569	2826
199	5595	2797
200	5620	2768
201	5645	2739
202	5671	2709
203	5696	2680
204	5722	2651
205	5747	2622
206	5772	2593
207	5798	2564
208	5824	2535
209	5854	2509
210	5881	2480
211	5908	2452
212	5934	2424
213	5960	2395
214	5988	2367
215	6014	2339
216	6042	2311
217	6068	2282
218	6093	2253
219	6120	2225
220	6146	2197
221	6171	2168
222	6197	2139
223	6222	2111
224	6247	2082
225	6274	2054
226	6299	2025
227	6324	1997
228	6349	1968
229	6374	1940
230	6398	1911
231	6423	1882
232	6448	1854
233	6473	1825
234	6498	1797
235	6526	1769
236	6562	1744
237	6588	1716
238	6613	1687
239	6638	1659
240	6664	1631
241	6690	1603
242	6714	1574
243	6739	1546
244	6763	1518
245	6788	1490
246	6813	1461
247	6836	1433
248	6861	1405
249	6887	1377
250	6913	1349
251	6938	1321
252	6963	1293
253	6988	1265
254	7013	1237
255	7037	1209
256	7063	1181
257	7087	1153
258	7113	1126
259	7139	1098
260	7166	1070
261	7190	1042
262	7220	1015
263	7246	988
264	7273	960
265	7300	933
266	7326	905
267	7353	878
268	7378	850
269	7404	822
270	7428	794
271	7454	767
272	7479	739
273	7509	712
274	7536	685
275	7570	658
276	7599	630
277	7625	603
278	7656	576
279	7683	548
280	7708	521
281	7733	493
282	7759	466
283	7785	438
284	7810	411
285	7836	383
286	7861	356
287	7886	328
288	7912	301
289	7937	273
290	7962	246
291	7987	218
292	8011	191
293	8037	164
294	8062	136
295	8086	109
296	8111	81
297	8137	54
298	8163	27
299	8188	0
